,Country,co2,debt,PM2.5,secondary_school,high_school,total_tax
0,Aruba,9.08,4.5065413533834615,4.702708333333332,8.94,5.01,4.664977578475337
1,Afghanistan,2.28,3.97,9.78,1.68,5.158258426966292,4.02
2,Angola,2.79,4.06,5.69,5.135820105820105,5.158258426966292,6.05
3,Albania,2.99,3.99,2.91,6.97,1.8000000000000007,4.39
4,Andorra,5.62,4.5065413533834615,1.56,5.135820105820105,5.158258426966292,4.664977578475337
5,Arab World,4.91,4.5065413533834615,9.03,3.69,6.8100000000000005,4.77
6,United Arab Emirates,9.92,4.5065413533834615,6.93,5.135820105820105,5.158258426966292,1.85
7,Argentina,4.75,4.5065413533834615,2.12,8.45,0.5500000000000007,9.77
8,Armenia,3.15,3.99,6.5,5.135820105820105,3.7300000000000004,4.39
9,American Samoa,4.591075697211152,4.5065413533834615,1.84,5.135820105820105,5.158258426966292,4.664977578475337
10,Antigua and Barbuda,5.3,4.5065413533834615,3.09,7.59,7.3,4.66
11,Australia,9.75,4.5065413533834615,1.32,5.135820105820105,5.158258426966292,5.43
12,Austria,6.53,4.5065413533834615,1.83,7.64,0.5600000000000005,6.05
13,Azerbaijan,4.28,4.01,3.23,5.135820105820105,7.49,4.54
14,Burundi,2.13,3.96,7.26,0.24,9.05,5.34
15,Belgium,7.21,4.5065413533834615,1.9,9.99,0.9800000000000004,6.74
16,Benin,2.39,3.96,5.37,5.135820105820105,8.22,7.23
17,Burkina Faso,2.19,3.96,6.83,0.17,9.01,4.87
18,Bangladesh,2.32,4.09,9.89,1.52,8.28,4.664977578475337
19,Bulgaria,5.75,4.21,3.32,7.25,1.8100000000000005,3.1
20,Bahrain,9.94,4.5065413533834615,9.88,6.84,4.17,1.73
21,"Bahamas, The",5.22,4.5065413533834615,2.86,5.135820105820105,5.158258426966292,5.11
22,Bosnia and Herzegovina,5.74,4.02,5.32,5.135820105820105,5.158258426966292,2.65
23,Belarus,6.1,4.12,3.12,8.56,0.1899999999999995,6.29
24,Belize,2.84,3.96,4.34,4.82,6.99,3.71
25,Bermuda,6.52,4.5065413533834615,1.78,4.33,6.07,4.664977578475337
26,Bolivia,3.07,3.98,4.12,5.53,5.158258426966292,8.92
27,Brazil,3.37,6.16,1.98,7.03,3.91,4.664977578475337
28,Barbados,5.18,4.5065413533834615,4.26,5.135820105820105,5.158258426966292,3.89
29,Brunei Darussalam,9.99,4.5065413533834615,1.0,8.51,7.25,1.89
30,Bhutan,2.66,3.96,7.61,3.69,8.67,4.21
31,Botswana,3.18,3.96,3.79,5.135820105820105,7.32,2.84
32,Central African Republic,2.15,3.96,9.03,0.07,9.11,7.7
33,Canada,9.46,4.5065413533834615,1.05,8.87,1.5399999999999991,2.31
34,Central Europe and the Baltics,5.99,4.5065413533834615,2.84,7.53,1.42,4.71
35,Switzerland,4.85,4.5065413533834615,1.54,7.44,2.49,3.28
