Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,co2,debt,pm2.5,secondary_school,high_school,total_tax
Somalia,114.9,alert,10,9.8,9.6,9.7,8.1,8.6,9.9,9.8,9.9,9.8,10,9.8,2.14,3.97,5.28,5.14,5.16,4.66
Congo Democratic Republic,111.2,alert,9.7,9.5,9.3,8.8,8.9,7.4,9.5,9.2,9.7,9.9,9.7,9.6,4.59,4.51,4.7,5.14,5.16,4.66
Sudan,109.4,alert,9.7,9.9,10,7.3,8.8,8.3,9.5,8.5,9.4,8.4,9.9,9.5,2.26,4.06,8.62,0.66,8.03,4.06
South Sudan,108.4,alert,9.7,10,10,7.3,8.8,6.4,9.1,9.5,9.2,8.4,9.9,10,2.17,4.51,7.79,5.14,5.16,2.95
Chad,107.6,alert,8.9,9.8,9.1,8.3,8.6,7.7,9.8,9.5,9.3,9.3,9.5,7.8,2.14,3.96,9.45,0.12,5.16,8.4
Zimbabwe,106.3,alert,8.7,9.8,8.7,8.9,8.9,9,9.4,9.1,8.9,9,8.4,7.5,2.37,4,3.44,0.96,8.91,3.74
Afghanistan,106,alert,9.7,9.4,9.4,7.7,8.1,7.4,9.5,8.5,8.5,8.9,9,10,2.28,3.97,9.78,1.68,5.16,4.02
Haiti,104.9,alert,8.2,9,7,9.5,8.6,8.8,9.3,9.3,7.7,9.5,8.1,9.7,2.22,3.96,2.34,5.14,5.16,4.59
Yemen,104.8,alert,9.7,9.8,9,8.7,8.4,7,9.1,9,8.4,8.8,8.7,8.3,4.59,4.51,4.7,5.14,5.16,4.66
Iraq,104.3,alert,9.9,9.6,9.7,7.7,8.7,8.6,8.4,7.8,8.3,8,8.5,9,4.81,4.51,9.8,5.14,5.16,3.33
Central African Republic,103.8,alert,9.6,9.1,8.5,8,8.7,5.6,8.9,9.1,8.5,8.8,9.7,9.3,2.15,3.96,9.03,0.07,9.11,7.7
Cote d'Ivoire,103.6,alert,8.9,9.9,9,7.4,7.7,7.6,9.6,8.3,8.3,7.9,9,10,2.32,4,3.29,5.14,5.16,5.08
Guinea,101.9,alert,9.4,9.2,7.9,8.9,8.1,8,9.5,8.6,8.7,8.3,8,7.3,2.22,3.96,3.39,0.54,8.57,8.9
Pakistan,101.6,alert,9.3,9.1,9.6,7.2,8.2,7.2,8.3,7,8.6,8.5,9,9.4,2.57,4.26,9.64,0.51,8.6,4.66
Nigeria,101.1,alert,9.2,9.8,9.7,7.5,8.9,7.6,9.1,9.1,8.6,8.4,6.5,6.6,2.4,4.04,9.27,1.01,5.16,4.66
Guinea Bissau,99.2,alert,9.4,9.2,5.7,9,7.8,7.7,9.3,8.5,7.5,8.7,7.5,8.9,4.59,4.51,4.7,5.14,5.16,4.66
Kenya,98.4,alert,7.6,9,8.9,7.3,8.2,7.7,8.6,8.1,7.4,8.9,8.4,8.4,2.25,4.01,4.78,5.14,5.16,5
Ethiopia,97.9,alert,8.1,8.7,8.1,7.4,7.9,7,7.2,8.4,8.6,9.6,8.7,8.2,2.16,4,6.24,0.49,8.74,3.71
Burundi,97.5,alert,7.4,7.9,8,8.8,7.9,5.9,8.3,8.5,8.1,8.8,8.9,9,2.13,3.96,7.26,0.24,9.05,5.34
Niger,96.9,alert,8.2,8.6,7.7,8.6,7.6,6,8.4,9.2,7.9,9.3,6.9,8.4,2.16,3.96,9.91,0.06,9.19,5.07
Uganda,96.5,alert,8.3,8.7,7.7,7.5,8.1,6.9,8,8.6,7.8,8.8,8.2,7.9,2.17,3.97,8.61,5.14,9.06,3.75
Myanmar,96.2,alert,7.5,8.6,8.7,7.6,8.7,5.7,9.4,8.4,8.6,7.9,8.2,6.9,2.22,4.01,7.54,5.14,8.23,4.48
North Korea,95.5,alert,8.1,7.7,6.6,9.3,8.6,4.4,9.9,9.4,9.6,7.9,5.3,8.7,4.59,4.51,4.7,5.14,5.16,4.66
Eritrea,94.5,alert,7.8,8.1,6.4,8.6,6.9,7.1,8.4,8.2,8.7,8.6,7.1,8.5,4.591075697,3.96,8.13,0.57,5.16,8.98
Syria,94.5,alert,8.5,8.7,9.2,6.3,7.5,6,9.5,7,9.4,5.5,9,7.9,4.59,4.51,4.7,5.14,5.16,4.66
Liberia,93.3,alert,7,8.4,6.5,8.6,7.7,6.7,6.9,8.8,6.1,8.4,8.9,9.3,2.23,3.95,2.14,5.14,8.44,2.83
Cameroon,93.1,alert,7.9,9.2,7.5,6.5,8.1,7.5,8.9,8.1,7.8,8.2,7,6.5,2.25,3.97,9.66,1.48,8.27,5.63
Nepal,93,alert,7.5,8.2,9,7.6,8.4,5.6,8,7.4,8.2,7.9,7.7,7.4,2.22,3.97,10,2.8,5.16,3.52
Timor-Leste,92.7,alert,8.3,8.3,6.8,8,7,6.1,8.5,8.4,6.3,8.4,7.7,8.9,2.24,3.95,3.29,2.34,5.16,1.55
Bangladesh,92.2,alert,7.6,8.9,8.9,7.4,8.1,7.8,8.2,7.8,6.8,8,6.8,5.9,2.32,4.09,9.89,1.52,8.28,4.66
Sri Lanka,92.2,alert,8.2,9.2,9.1,5.6,8.1,7.1,8.1,5.8,8.7,7.1,8.7,6.5,2.5,4.13,4.94,7.86,7.88,6.41
Egypt,90.4,alert,7,8.8,8.8,7.1,7.4,5.7,9.2,5.9,9,7.1,6.4,8,4.59,4.51,4.7,5.14,5.16,4.66
Sierra Leone,90.4,alert,5.7,7.9,6.2,8.3,8.2,7.7,7.6,8.7,6.4,8.9,7.8,7.1,2.19,3.96,2.82,0.78,5.16,3.62
Congo Republic,90.1,alert,7,6.7,6.3,7.5,7.9,6.5,8.6,8.4,7.2,8.3,7.7,7.9,4.59,4.51,4.7,5.14,5.16,4.66
Iran,89.6,warning,8.3,9.3,8.6,6.4,6.7,6.4,8.8,5.3,8.9,5.8,7.6,7.4,4.59,4.51,4.7,5.14,5.16,4.66
Rwanda,89.3,warning,5.5,7.9,8.5,6.8,7.4,7,6.8,7.5,8,8.6,7.6,7.7,2.15,3.96,7.88,0.54,8.86,3.87
Malawi,88.8,warning,5.1,7.6,5.7,8.5,7.7,7.8,8,7.9,7.1,8.8,6.2,8.4,2.15,3.96,3.98,0.34,5.16,3.62
Cambodia,88.7,warning,6.5,8,7.3,6.9,7.1,7.7,8.2,8.3,7.7,7.5,5.9,7.7,2.29,3.98,5.21,5.14,5.16,2.55
Mauritania,87.6,warning,7.7,8.1,7.5,7.6,6.3,5.4,7.6,7.9,7.3,8,6.5,7.6,2.45,3.97,7.5,0.18,8.97,6.86
Togo,87.5,warning,7.3,7.5,5.1,7.7,7.6,6.9,8.2,8.2,7.4,8.1,6.8,6.8,2.29,3.96,5.23,5.14,8.56,5.64
Uzbekistan,87.5,warning,8.2,8.7,7.7,7.1,7.9,6,8.7,5.7,9.1,7,5.7,5.7,4.32,4,5.3,6.86,8.75,9.57
Burkina Faso,87.4,warning,7.1,7.3,5.2,7.7,8.2,6,8,8.4,7,8.9,5.9,7.7,2.19,3.96,6.83,0.17,9.01,4.87
Kyrgyz Republic,87.4,warning,7.4,8.3,8.4,7.9,7.3,6.7,8.7,5.4,7.8,6.5,5.3,7.6,3.05,3.98,3.92,6.4,4.06,3.74
Equatorial Guinea,86.3,warning,7.8,8.2,6.6,4.8,8.8,6.9,9.4,7.8,9.1,8.2,3,5.7,4.98,4.51,7.99,5.14,5.16,5.42
Zambia,85.9,warning,5.3,6,6.3,8.1,7.7,7.1,8,7.7,6.4,9.1,7.3,7,2.23,3.98,4.87,5.14,9.04,1.95
Lebanon,85.8,warning,8.4,9.1,8.4,5.5,6.5,6.3,7.5,5.5,6.5,6.2,8.2,7.7,4.78,4.23,4.95,3.7,3.81,3.41
Tajikistan,85.7,warning,7.1,8.3,6.9,7.7,6.5,5.7,8.8,6.6,8.5,7.3,5.6,6.7,2.29,3.98,8.53,6.04,7.21,8.98
Solomon Islands,85.6,warning,6.7,8,6.8,7.9,8.3,5.4,7.6,7.8,6.2,7.6,4.8,8.5,2.29,3.95,1.7,1.09,5.16,2.83
Laos,85.5,warning,6.9,8.6,6.3,6.7,5.8,7.1,8.3,7.4,8.2,7.8,5.5,6.9,4.59,4.51,4.7,5.14,5.16,4.66
Angola,85.1,warning,5.9,7,6.5,4.8,9.1,5.6,8.2,8.3,7.6,8.9,6.9,6.4,2.79,4.06,5.69,5.14,5.16,6.05
Libya,84.9,warning,9,8,7,5.5,7,3.9,8.1,7.6,9,5.8,5.1,9,7.17,4.51,7.94,5.14,5.16,3.64
Georgia,84.8,warning,7.6,9.1,8.3,6.3,6.6,5.2,8.5,5.7,6.7,5.5,7.2,8.2,3.32,4.01,3.82,5.14,6.23,1.98
Colombia,84.4,warning,7,7.7,7.2,4,8.4,7.6,7.4,5.9,7,6.4,8.4,7.4,3,4.35,2.9,7.89,3.72,8.62
Djibouti,83.8,warning,6.5,7.5,6.5,6.6,7.1,4.9,7.5,7.2,6.8,8.3,6.9,8,2.4,3.96,7.06,0.63,5.16,4.3
Papua New Guinea,83.7,warning,6.3,7.1,6.9,6.6,8.8,7.2,7.6,8.6,6.1,7.4,4.8,6.1,2.45,4.03,1.88,0.58,5.16,4.8
Swaziland,83.5,warning,6.3,7,3.6,8.3,7,5.8,8.6,7.7,8.3,8.9,4.6,7.4,4.59,4.51,4.7,5.14,5.16,4.66
Philippines,83.2,warning,8.4,8,7.6,5.3,6.8,6.5,7.9,6.3,7,7.3,6.2,5.8,2.58,4.3,3.3,5.14,6,5.1
Comoros,83,warning,7.5,7.5,5.3,7.9,6.1,6.9,7.7,7.9,6.3,7.3,4.2,8.4,2.21,3.95,3.04,5.14,8.7,10
Madagascar,82.5,warning,6.9,7.8,5.2,7.9,7.6,5.2,7.3,8.3,6,8,4.4,8,2.17,3.97,3.34,0.51,9.04,4.51
Bhutan,82.4,warning,5.9,7.5,7.6,6.6,7.8,6.5,6.3,6.6,7.3,6.7,6.6,7,2.66,3.96,7.61,3.69,8.67,4.21
Mozambique,82.4,warning,6.8,5.6,4.9,7.9,7.7,7.5,7.3,8.3,6.7,8.9,4.3,6.5,2.17,3.98,3.37,0.15,8.97,4.17
Israel and West Bank,82.2,warning,6.8,8.1,9.5,4,7.8,3.5,7,6.2,7.9,6.5,7.3,7.6,4.59,4.51,4.7,5.14,5.16,4.66
Bolivia,82.1,warning,6.5,8,7.4,6.5,8.8,6.1,7.1,6.8,6.5,7.5,4.3,6.6,3.07,3.98,4.12,5.53,5.16,8.92
Gambia,80.6,warning,5.8,6.8,3.7,7.4,6.5,6.8,7.8,7.2,7.5,7.8,6.1,7.2,4.59,4.51,4.7,5.14,5.16,4.66
Indonesia,80.6,warning,7.1,7,7.1,6,7.2,6.6,6.7,6.2,6.8,7.4,6.3,6.2,3.49,5.22,2.46,5.06,6.38,4.66
Fiji,80.5,warning,7,7.9,7.6,7,7.7,7.3,8.8,5.2,7,5.1,3.3,6.6,2.73,3.96,1.62,6.42,5.16,4.24
Tanzania,80.4,warning,5.8,5.7,5.8,6.9,5.9,6.1,6.5,8.5,6.5,8.2,7.1,7.4,2.21,4.01,4.92,5.14,9.05,5.15
Ecuador,80.1,warning,6.5,8.2,6.9,5.9,7.7,7.1,7.5,7.2,5.2,5.6,6,6.3,3.44,4.03,2.72,8.06,4.68,3.86
Azerbaijan,79.8,warning,6.7,7.8,7.2,5.2,6.6,5.1,8,5.4,7.3,5.6,7.6,7.2,4.28,4.01,3.23,5.14,7.49,4.54
Nicaragua,79.6,warning,5.9,6.8,6.2,6.9,8.2,7.5,7.4,7,5.7,6.5,4.3,7,2.5,4,3.26,5.14,5.16,7.2
Guatemala,79.4,warning,7.3,6,7.1,6.1,7.6,6.8,6.8,6.7,6.7,7,5.9,5.4,2.5,4.03,4.9,1.49,5.16,4.65
Senegal,79.3,warning,6.3,6.3,6,6.9,6.9,6.3,6,7.5,6.5,7.8,6.7,6,2.4,3.98,6.29,0.85,8.61,5.22
Lesotho,79,warning,5.5,7,4.7,8.6,6.4,6.5,6.3,8,5.7,8.7,4.6,6.9,2.69,3.96,5.2,1.53,8.5,1.76
Moldova,78.7,warning,7.5,8,6.3,6.2,6.2,7.2,7.4,6,6.2,5.8,4.7,7.2,2.82,3.98,2.51,6.34,4.64,3.43
Benin,78.6,warning,6,6.4,3.6,7.6,6.9,6.3,6.4,8.3,5.4,8,6.8,7,2.39,3.96,5.37,5.14,8.22,7.23
Honduras,78.5,warning,7,6.3,5.6,7.2,8.1,6.9,7,6.7,6.2,7.3,3.6,6.6,2.64,3.98,4.35,3.14,7.65,4.48
China,78.3,warning,6,6.9,7.9,3.9,8.3,5.3,7.9,6.3,8.6,7.9,5.9,3.5,6.56,8.82,9.7,6.97,6.47,4.66
Algeria,78.1,warning,7.1,6.8,8.1,5.5,6.5,5.4,7.2,5.9,7.4,6.1,6.5,5.5,4.05,3.98,5.68,5.14,5.86,8.14
India,78,warning,7.5,6.8,7.9,5.5,8.4,5.9,5.5,6.9,5.8,7.3,5.5,5,2.94,5.93,9.99,3.41,6.98,4.66
Bosnia and Herzegovina,77.9,warning,6.7,8.7,8,5.5,6.5,5.8,7,4.7,6.1,4.7,6.5,7.7,5.74,4.02,5.32,5.14,5.16,2.65
Mali,77.9,warning,7.1,4.5,6,7.5,6.4,7.3,5.3,8,4.6,8.8,5.5,7,2.14,3.97,5.97,5.14,8.83,5.91
Turkmenistan,77.4,warning,7.2,7.7,6.4,5.7,6.8,4.8,9,6.4,8.4,6.2,3.9,4.9,8.83,3.95,3.56,5.14,5.16,4.66
Venezuela,77.3,warning,6.7,7.3,6.7,5.9,7.2,6.1,7.9,6.3,7.7,5.7,4.5,5.2,4.59,4.51,4.7,5.14,5.16,4.66
Russia,77.1,warning,8.2,8,7.9,4,7.3,5.4,7.9,5,8.1,6,5,4.3,4.59,4.51,4.7,5.14,5.16,4.66
Thailand,77,warning,7.3,8.8,7.8,4,6.9,4,6.5,4.7,7.2,8.2,6.7,4.9,4.63,4.62,5.27,5.66,3.09,4.06
Belarus,76.6,warning,6,8,6.5,6.5,6,4.2,9,5.5,8.3,6,3.3,7.3,6.1,4.12,3.12,8.56,0.19,6.29
Turkey,76.6,warning,7.7,7.5,8.6,5.6,7.1,4.2,6.2,6,5.3,6,6.5,5.9,4.66,5.66,7.43,5.89,1.08,4.56
Morocco,76.1,warning,6.6,6.6,6.8,5.6,7.2,6.7,6.6,6.2,6.4,6.1,6.2,5.2,3.1,4.12,4.43,3.49,7.62,5.74
Maldives,75.1,warning,5.7,7.6,4.9,6.4,4.7,6.5,7.9,6.6,7.5,5.7,5.6,6.1,3.69,3.96,1.4,5.14,5.16,2.89
Serbia,75,warning,6.4,8,7.9,6.2,6.2,4.7,6.6,4.6,5.8,5,6.3,7.3,5.75,4.12,4.61,7.18,2.72,3.48
Jordan,74.8,warning,5.7,6.3,7,6.4,6.8,4.4,6.3,4.6,7.1,6.5,7.3,6.5,3.8,4.04,5.6,4.24,4.29,3.19
Cape Verde,74.7,warning,5.7,5.7,4.2,6.6,6.6,8.4,6.6,6.6,5.4,7,4,7.9,4.59,4.51,4.7,5.14,5.16,4.66
Gabon,74.6,warning,5.7,7.1,3.3,5.7,7.6,5.8,7.8,6.9,6.8,6.5,5.9,5.5,3.7,3.97,7.22,5.14,5.16,5.08
El Salvador,74.4,warning,6.7,4.3,6,6,7.3,7.2,6.2,6.6,6.4,7.7,5.2,4.8,2.65,4.02,5.13,4.09,6.46,3.9
Tunisia,74.2,warning,7.5,7.8,5.6,5.5,6.3,5.2,7.8,5,8.3,5.2,4,6,3.45,4.08,5.55,5.14,5.4,7.24
Dominican Republic,74.1,warning,5.5,6.5,5.8,5.8,7.2,7.6,5.7,6.5,6,6.5,5.2,5.9,3.27,4.06,2.12,4.76,3.37,4.96
Vietnam,74,warning,5.7,6.9,6,6.1,5.9,6,7.5,6.1,7.4,6.1,4.4,5.9,2.92,4.26,6.51,5.14,6.9,3.96
