Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
South Sudan,112.9,alert,9.9,10,10,8.8,8.9,6.8,9.7,9.9,9.9,9.1,10,9.9
Somalia,112.6,alert,9.4,10,9.3,9.1,8.7,8.9,9.1,9.6,9.8,9.5,10,9.2
Central African Republic,110.6,alert,9.9,9.7,9.5,7.8,9.4,7,9.5,9.7,9.5,8.7,10,9.9
Congo Democratic Republic,110.2,alert,9.4,9.5,9.6,8.2,8.5,7.2,9.3,9.4,10,9.4,9.9,9.8
Sudan,110.1,alert,9.6,10,9.9,8.1,8.2,8.7,9.3,9.1,9.3,8.6,9.7,9.6
Chad,108.7,alert,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10,9.5,9.6,9.8,8.2
Afghanistan,106.5,alert,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9
Yemen,105.4,alert,9.5,9.4,9.3,9.1,7.8,7.3,8.9,8.5,9,9.1,9,8.5
Haiti,104.3,alert,7.5,9.1,7,9.4,9.3,9.1,8.9,9.5,7.5,8.7,8.5,9.8
Pakistan,103,alert,9.9,9.5,10,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3
Zimbabwe,102.8,alert,8.1,10,8.1,8.3,8.3,8.3,9.3,8.8,8.6,8.9,8.4,7.7
Guinea,102.7,alert,9.2,9.6,8.4,8.9,7.9,7.5,9.9,9.2,8.5,8,8.3,7.3
Iraq,102.2,alert,10,9.6,10,7,8.1,8,8.7,7.7,8.7,8,8.5,7.9
Cote d'Ivoire,101.7,alert,8.8,9.4,9,7.4,7.6,7,8.8,8.7,8.7,7.8,9.1,9.4
Syria,101.6,alert,10,9.6,10,6.7,6.9,6.9,9.8,7.2,9.9,6,10,8.6
